Regio's,Perioden,Beginstand voorraad,Nieuwbouw,Eindstand voorraad
Landgraaf,2024,18221,59,18291
Landsmeer,2012,4391,42,4432
Landsmeer,2016,4668,63,4739
Landsmeer,2020,4896,0,4897
Landsmeer,2024,4923,39,4958
Langedijk,2012,10696,75,10773
Langedijk,2016,11295,50,11312
Langedijk,2020,11650,117,11773
Langedijk,2024,,,
Lansingerland,2012,21230,418,21913
Lansingerland,2016,22942,265,23255
Lansingerland,2020,24245,437,24686
Lansingerland,2024,25539,240,25791
Laren (NH.),2012,4971,6,5161
Laren (NH.),2016,5181,10,5244
Laren (NH.),2020,5400,52,5441
Laren (NH.),2024,5488,31,5508
Leek,2012,8057,129,8308
Leek,2016,8498,92,8587
Leek,2020,,,
Leek,2024,,,
Leerdam,2012,8480,91,8544
Leerdam,2016,8757,59,8762
Leerdam,2020,,,
Leerdam,2024,,,
Leeuwarden,2012,46778,388,47727
Leeuwarden,2016,54245,415,54461
Leeuwarden,2020,62599,417,63067
Leeuwarden,2024,65594,295,65879
Leeuwarderadeel,2012,4256,9,4267
Leeuwarderadeel,2016,4352,2,4353
Leeuwarderadeel,2020,,,
Leeuwarderadeel,2024,,,
Leiden,2012,53613,785,54400
Leiden,2016,56636,765,57476
Leiden,2020,59832,568,60538
Leiden,2024,63853,1052,65079
Leiderdorp,2012,11838,0,11843
Leiderdorp,2016,12016,54,12068
Leiderdorp,2020,12119,261,12379
Leiderdorp,2024,12687,13,12698
Leidschendam-Voorburg,2012,35969,81,35868
Leidschendam-Voorburg,2016,36398,42,36444
Leidschendam-Voorburg,2020,36944,7,36955
Leidschendam-Voorburg,2024,37746,164,37861
Lelystad,2012,32216,161,32379
Lelystad,2016,32755,136,32895
Lelystad,2020,33385,349,33734
Lelystad,2024,35647,342,36017
Lemsterland,2012,6315,58,6435
Lemsterland,2016,,,
Lemsterland,2020,,,
Lemsterland,2024,,,
Leudal,2012,15231,55,15327
Leudal,2016,15718,18,15735
Leudal,2020,15992,170,16157
Leudal,2024,16355,45,16412
Leusden,2012,12133,250,12415
Leusden,2016,12425,67,12495
Leusden,2020,13043,147,13229
Leusden,2024,13696,134,13848
Liesveld,2012,3762,9,3785
Liesveld,2016,,,
Liesveld,2020,,,
Liesveld,2024,,,
Lingewaal,2012,4288,103,4409
Lingewaal,2016,4538,16,4532
Lingewaal,2020,,,
Lingewaal,2024,,,
Lingewaard,2012,18539,140,18781
Lingewaard,2016,19423,158,19638
Lingewaard,2020,19872,208,20056
Lingewaard,2024,20365,224,20569
Lisse,2012,9637,6,9653
Lisse,2016,10080,70,10183
Lisse,2020,10330,51,10411
Lisse,2024,10554,137,10637
Littenseradiel,2012,4496,36,4531
Littenseradiel,2016,4515,8,4528
Littenseradiel,2020,,,
Littenseradiel,2024,,,
Lochem,2012,14119,104,14271
Lochem,2016,14624,107,14778
Lochem,2020,15096,75,15165
Lochem,2024,15567,71,15659
Loon op Zand,2012,9864,91,9961
Loon op Zand,2016,10110,74,10169
Loon op Zand,2020,10409,170,10478
Loon op Zand,2024,10607,64,10678
Lopik,2012,5315,27,5347
Lopik,2016,5488,30,5526
Lopik,2020,5741,79,5838
Lopik,2024,5904,46,5954
Loppersum,2012,4478,12,4508
Loppersum,2016,4648,25,4627
Loppersum,2020,4687,141,4782
Loppersum,2024,,,
Losser,2012,9291,137,9429
Losser,2016,9559,60,9626
Losser,2020,9789,69,9863
Losser,2024,10147,71,10210
Maasdonk,2012,4553,23,4589
Maasdonk,2016,,,
Maasdonk,2020,,,
Maasdonk,2024,,,
Maasdriel,2012,9484,28,9531
Maasdriel,2016,9695,65,9749
Maasdriel,2020,10115,94,10207
Maasdriel,2024,10498,73,10544
Maasgouw,2012,10280,6,10298
Maasgouw,2016,10601,35,10641
Maasgouw,2020,10856,106,10965
Maasgouw,2024,11298,61,11323
Maashorst,2012,,,
Maashorst,2016,,,
Maashorst,2020,,,
Maashorst,2024,26320,234,26571
Maassluis,2012,14511,96,14459
Maassluis,2016,14938,81,14943
Maassluis,2020,15186,232,15389
Maassluis,2024,16379,385,16664
Maastricht,2012,59234,0,60360
Maastricht,2016,60948,16,61485
Maastricht,2020,61833,443,62839
Maastricht,2024,65942,252,66249
De Marne,2012,5218,16,5205
De Marne,2016,5260,2,5227
De Marne,2020,,,
De Marne,2024,,,
Marum,2012,4113,8,4156
Marum,2016,4291,59,4351
Marum,2020,,,
Marum,2024,,,
Medemblik,2012,17346,176,17528
Medemblik,2016,18402,160,18607
Medemblik,2020,19100,100,19211
Medemblik,2024,19492,84,19593
Meerssen,2012,8345,1,8360
Meerssen,2016,8569,1,8590
Meerssen,2020,8629,3,8640
Meerssen,2024,8693,20,8717
Meierijstad,2012,,,
Meierijstad,2016,,,
Meierijstad,2020,34544,402,34895
Meierijstad,2024,36361,434,36823
Menameradiel,2012,5630,12,5668
Menameradiel,2016,5851,7,5849
Menameradiel,2020,,,
Menameradiel,2024,,,
Menterwolde,2012,5370,17,5369
Menterwolde,2016,5408,2,5407
Menterwolde,2020,,,
Menterwolde,2024,,,
Meppel,2012,14352,28,14686
Meppel,2016,15177,203,15388
Meppel,2020,15851,242,16106
Meppel,2024,16612,152,16783
Middelburg (Z.),2012,22576,94,22739
Middelburg (Z.),2016,23004,132,23167
Middelburg (Z.),2020,23683,127,23906
Middelburg (Z.),2024,24703,189,24858
Middelharnis,2012,7586,33,7611
Middelharnis,2016,,,
Middelharnis,2020,,,
Middelharnis,2024,,,
Midden-Delfland,2012,7195,94,7281
Midden-Delfland,2016,7649,85,7727
Midden-Delfland,2020,7904,110,7996
Midden-Delfland,2024,8103,42,8145
Midden-Drenthe,2012,13950,20,13986
Midden-Drenthe,2016,14030,50,14156
Midden-Drenthe,2020,14378,52,14413
Midden-Drenthe,2024,14801,56,14849
Midden-Groningen,2012,,,
Midden-Groningen,2016,,,
Midden-Groningen,2020,28167,279,28154
Midden-Groningen,2024,28735,123,28833
Mill en Sint Hubert,2012,4378,54,4437
Mill en Sint Hubert,2016,4440,56,4494
Mill en Sint Hubert,2020,4627,32,4658
Mill en Sint Hubert,2024,,,
Millingen aan de Rijn,2012,2486,39,2528
Millingen aan de Rijn,2016,,,
Millingen aan de Rijn,2020,,,
Millingen aan de Rijn,2024,,,
Moerdijk,2012,15708,102,15812
Moerdijk,2016,16116,178,16315
Moerdijk,2020,16501,120,16629
Moerdijk,2024,16997,109,17118
Molenlanden,2012,,,
Molenlanden,2016,,,
Molenlanden,2020,17205,152,17340
Molenlanden,2024,18025,96,18111
Molenwaard,2012,,,
Molenwaard,2016,11021,95,11109
Molenwaard,2020,,,
Molenwaard,2024,,,
Montferland,2012,14625,44,14738
Montferland,2016,15281,105,15385
Montferland,2020,15917,103,16016
Montferland,2024,16353,41,16344
Montfoort,2012,5350,2,5443
Montfoort,2016,5572,83,5667
Montfoort,2020,5740,8,5756
Montfoort,2024,5813,7,5825
Mook en Middelaar,2012,3476,14,3489
Mook en Middelaar,2016,3561,7,3563
Mook en Middelaar,2020,3591,39,3667
Mook en Middelaar,2024,3761,24,3785
Muiden,2012,2754,0,2755
Muiden,2016,,,
Muiden,2020,,,
Muiden,2024,,,
Naarden,2012,7517,1,7527
Naarden,2016,,,
Naarden,2020,,,
Naarden,2024,,,
Neder-Betuwe,2012,8085,7,8052
Neder-Betuwe,2016,8391,103,8510
Neder-Betuwe,2020,8867,46,8912
Neder-Betuwe,2024,9265,94,9356
Nederlek,2012,5931,94,6091
Nederlek,2016,,,
Nederlek,2020,,,
Nederlek,2024,,,
Nederweert,2012,6916,45,6991
Nederweert,2016,7165,77,7240
Nederweert,2020,7457,87,7534
Nederweert,2024,7677,57,7696
Neerijnen,2012,4607,16,4621
Neerijnen,2016,4786,66,4861
Neerijnen,2020,,,
Neerijnen,2024,,,
Nieuwegein,2012,26411,200,26647
Nieuwegein,2016,27799,43,27976
Nieuwegein,2020,28844,60,29445
Nieuwegein,2024,30773,563,31374
Nieuwkoop,2012,10346,97,10420
Nieuwkoop,2016,10835,239,11113
Nieuwkoop,2020,11498,161,11660
Nieuwkoop,2024,11919,33,11931
Nieuw-Lekkerland,2012,3467,19,3467
Nieuw-Lekkerland,2016,,,
Nieuw-Lekkerland,2020,,,
Nieuw-Lekkerland,2024,,,
Nijkerk,2012,15519,170,15675
Nijkerk,2016,16131,149,16344
Nijkerk,2020,17321,32,17349
Nijkerk,2024,18345,53,18382
Nijmegen,2012,74162,734,76518
Nijmegen,2016,79593,1411,78200
Nijmegen,2020,81717,472,82317
Nijmegen,2024,86410,1116,87822
Nissewaard,2012,,,
Nissewaard,2016,39083,46,39192
Nissewaard,2020,39225,365,39469
Nissewaard,2024,40308,259,40514
Noardeast-Fryslân,2012,,,
Noardeast-Fryslân,2016,,,
Noardeast-Fryslân,2020,20630,102,20690
Noardeast-Fryslân,2024,21010,36,21001
Noord-Beveland,2012,4103,0,4096
Noord-Beveland,2016,4347,20,4361
Noord-Beveland,2020,4460,89,4553
Noord-Beveland,2024,4800,71,4868
Noordenveld,2012,14094,135,14204
Noordenveld,2016,14555,58,14630
Noordenveld,2020,14817,71,14855
Noordenveld,2024,15047,99,15140
Noordoostpolder,2012,18759,168,18928
Noordoostpolder,2016,19583,61,19535
Noordoostpolder,2020,20134,311,20336
Noordoostpolder,2024,21202,162,21364
Noordwijk,2012,12847,50,12921
Noordwijk,2016,12267,5,12309
Noordwijk,2020,19930,239,20120
Noordwijk,2024,21103,215,21279
Noordwijkerhout,2012,6428,171,6543
Noordwijkerhout,2016,6942,217,7156
Noordwijkerhout,2020,,,
Noordwijkerhout,2024,,,
"Nuenen, Gerwen en Nederwetten",2012,9449,76,9867
"Nuenen, Gerwen en Nederwetten",2016,10017,32,10032
"Nuenen, Gerwen en Nederwetten",2020,10285,159,10450
"Nuenen, Gerwen en Nederwetten",2024,10712,98,10806
Nunspeet,2012,10167,70,10354
Nunspeet,2016,10449,29,10463
Nunspeet,2020,10957,256,11199
Nunspeet,2024,11671,154,11822
Nuth,2012,6815,11,6906
Nuth,2016,6947,1,6953
Nuth,2020,,,
Nuth,2024,,,
Oegstgeest,2012,9822,174,10010
Oegstgeest,2016,10379,83,10459
Oegstgeest,2020,10862,148,11014
Oegstgeest,2024,11273,7,11286
Oirschot,2012,6913,1,6906
Oirschot,2016,7437,48,7650
Oirschot,2020,7965,67,8036
Oirschot,2024,8303,227,8544
Oisterwijk,2012,10768,35,11037
Oisterwijk,2016,11178,78,11265
Oisterwijk,2020,11619,81,11718
Oisterwijk,2024,14436,82,14501
Oldambt,2012,18090,24,18073
Oldambt,2016,18396,13,18382
Oldambt,2020,18540,98,18648
Oldambt,2024,19256,89,19336
Oldebroek,2012,8610,85,8766
Oldebroek,2016,9090,73,9163
Oldebroek,2020,9318,151,9475
Oldebroek,2024,9698,57,9745
Oldenzaal,2012,13948,32,13986
Oldenzaal,2016,14284,14,14311
Oldenzaal,2020,14614,55,14662
Oldenzaal,2024,14900,83,14974
Olst-Wijhe,2012,7066,122,7212
Olst-Wijhe,2016,7448,30,7529
Olst-Wijhe,2020,7724,97,7828
Olst-Wijhe,2024,8141,138,8267
Ommen,2012,8137,12,8135
Ommen,2016,7108,77,7184
Ommen,2020,7519,77,7601
Ommen,2024,7815,102,7934
Onderbanken,2012,3658,1,3658
Onderbanken,2016,3645,4,3654
Onderbanken,2020,,,
Onderbanken,2024,,,
Oost Gelre,2012,12288,88,12434
Oost Gelre,2016,12692,60,12751
Oost Gelre,2020,12910,99,12949
Oost Gelre,2024,13298,46,13367
Oosterhout,2012,23318,16,23337
Oosterhout,2016,24248,275,24441
Oosterhout,2020,25158,80,25194
Oosterhout,2024,26149,362,26528
Oostflakkee,2012,4247,1,4253
Oostflakkee,2016,,,
Oostflakkee,2020,,,
Oostflakkee,2024,,,
Ooststellingwerf,2012,11137,11,11160
Ooststellingwerf,2016,11172,5,11202
Ooststellingwerf,2020,11253,168,11419
Ooststellingwerf,2024,11491,16,11506
Oostzaan,2012,3890,56,3981
Oostzaan,2016,4048,24,4068
Oostzaan,2020,4108,12,4100
Oostzaan,2024,4149,30,4171
Opmeer,2012,4562,4,4564
Opmeer,2016,4680,23,4713
Opmeer,2020,4852,124,4974
Opmeer,2024,5139,155,5296
Opsterland,2012,12520,40,12460
Opsterland,2016,12873,37,12926
Opsterland,2020,13064,127,13202
Opsterland,2024,13409,101,13509
Oss,2012,35396,378,35747
Oss,2016,38831,241,39130
Oss,2020,40325,417,40746
Oss,2024,42122,289,42395
Oud-Beijerland,2012,9515,14,9522
Oud-Beijerland,2016,9940,187,10122
Oud-Beijerland,2020,,,
Oud-Beijerland,2024,,,
Oude IJsselstreek,2012,16689,29,17252
Oude IJsselstreek,2016,17218,46,17225
Oude IJsselstreek,2020,17401,80,17454
Oude IJsselstreek,2024,17779,69,17755
Ouder-Amstel,2012,5733,20,5752
Ouder-Amstel,2016,5851,3,5851
Ouder-Amstel,2020,6296,1,6301
Ouder-Amstel,2024,6400,3,6362
Ouderkerk,2012,3188,73,3249
Ouderkerk,2016,,,
Ouderkerk,2020,,,
Ouderkerk,2024,,,
Oudewater,2012,3989,85,4073
Oudewater,2016,4270,38,4322
Oudewater,2020,4372,20,4323
Oudewater,2024,4465,113,4575
Overbetuwe,2012,18190,154,18388
Overbetuwe,2016,19251,150,19390
Overbetuwe,2020,19947,172,20128
Overbetuwe,2024,20556,139,20703
Papendrecht,2012,13938,93,14036
Papendrecht,2016,14251,37,14289
Papendrecht,2020,14397,64,14479
Papendrecht,2024,14537,2,14553
Peel en Maas,2012,17198,115,17410
Peel en Maas,2016,17898,152,18059
Peel en Maas,2020,18399,169,18527
Peel en Maas,2024,19008,99,19196
Pekela,2012,5648,4,5649
Pekela,2016,5777,3,5776
Pekela,2020,5774,10,5782
Pekela,2024,5797,9,5797
Pijnacker-Nootdorp,2012,19154,220,19367
Pijnacker-Nootdorp,2016,20135,255,20414
Pijnacker-Nootdorp,2020,21536,268,21798
Pijnacker-Nootdorp,2024,22656,230,22893
Purmerend,2012,34901,68,34893
Purmerend,2016,35581,61,35631
Purmerend,2020,36701,404,37124
Purmerend,2024,43061,438,43479
Putten,2012,9825,98,9382
Putten,2016,9628,31,9649
Putten,2020,9727,174,9904
Putten,2024,10267,73,10336
Raalte,2012,15228,109,15385
Raalte,2016,15301,75,15359
Raalte,2020,15902,138,16049
Raalte,2024,16461,105,16573
Reimerswaal,2012,8662,40,8709
Reimerswaal,2016,8996,75,8994
Reimerswaal,2020,9298,84,9332
Reimerswaal,2024,9424,42,9466
Renkum,2012,14486,84,14565
Renkum,2016,14626,58,14653
Renkum,2020,14985,38,15003
Renkum,2024,15136,66,15217
Renswoude,2012,1752,2,1827
Renswoude,2016,1885,27,1904
Renswoude,2020,2134,25,2154
Renswoude,2024,2195,43,2236
Reusel-De Mierden,2012,5021,33,5086
Reusel-De Mierden,2016,5275,74,5344
Reusel-De Mierden,2020,5484,53,5523
Reusel-De Mierden,2024,5830,104,5944
Rheden,2012,20189,194,20334
Rheden,2016,20970,62,21117
Rheden,2020,21212,59,21281
Rheden,2024,21310,49,21377
Rhenen,2012,7492,1,7482
Rhenen,2016,7755,245,7935
Rhenen,2020,8225,60,8287
Rhenen,2024,8404,24,8426
Ridderkerk,2012,19862,60,20504
Ridderkerk,2016,20680,170,20795
Ridderkerk,2020,20960,356,21308
Ridderkerk,2024,21737,196,21966
Rijnwaarden,2012,4722,3,4726
Rijnwaarden,2016,4787,3,4795
Rijnwaarden,2020,,,
Rijnwaarden,2024,,,
Rijnwoude,2012,7399,17,7495
Rijnwoude,2016,,,
Rijnwoude,2020,,,
Rijnwoude,2024,,,
Rijssen-Holten,2012,13714,164,13855
Rijssen-Holten,2016,14298,33,14387
Rijssen-Holten,2020,14760,100,14867
Rijssen-Holten,2024,15196,122,15310
Rijswijk (ZH.),2012,24442,53,24618
Rijswijk (ZH.),2016,25606,338,25964
Rijswijk (ZH.),2020,26905,214,27219
Rijswijk (ZH.),2024,28745,318,29310
Roerdalen,2012,9016,47,9203
Roerdalen,2016,9405,5,9410
Roerdalen,2020,9477,90,9554
Roerdalen,2024,9771,98,9866
Roermond,2012,26531,108,26670
Roermond,2016,27111,83,27140
Roermond,2020,27649,110,27749
Roermond,2024,29439,309,29894
De Ronde Venen,2012,17836,92,18048
De Ronde Venen,2016,17608,210,17786
De Ronde Venen,2020,18517,202,18580
De Ronde Venen,2024,19039,39,19070
Roosendaal,2012,33879,143,33869
Roosendaal,2016,34718,142,34962
Roosendaal,2020,35363,254,35618
Roosendaal,2024,36069,216,35981
Rotterdam,2012,306227,1114,307352
Rotterdam,2016,311168,754,309693
Rotterdam,2020,315565,2005,317945
Rotterdam,2024,324597,2886,328408
Rozendaal,2012,628,1,628
Rozendaal,2016,635,0,635
Rozendaal,2020,688,6,694
Rozendaal,2024,709,1,709
Rucphen,2012,9194,13,9271
Rucphen,2016,9534,51,9604
Rucphen,2020,9822,102,9916
Rucphen,2024,10295,22,10307
Schagen,2012,8302,46,8334
Schagen,2016,19814,94,19993
Schagen,2020,20334,186,20581
Schagen,2024,21470,329,21822
Schermer,2012,2169,1,2179
Schermer,2016,,,
Schermer,2020,,,
Schermer,2024,,,
Scherpenzeel,2012,3632,36,3663
Scherpenzeel,2016,3725,94,3819
Scherpenzeel,2020,4002,58,4114
Scherpenzeel,2024,4226,44,4265
Schiedam,2012,35834,128,36011
Schiedam,2016,36751,62,36763
Schiedam,2020,37292,285,37472
Schiedam,2024,38360,60,38420
Schiermonnikoog,2012,590,0,591
Schiermonnikoog,2016,583,1,584
Schiermonnikoog,2020,587,0,588
Schiermonnikoog,2024,613,2,615
Schijndel,2012,9223,346,9576
Schijndel,2016,9862,43,9901
Schijndel,2020,,,
Schijndel,2024,,,
Schinnen,2012,5916,0,5884
Schinnen,2016,5929,4,5946
Schinnen,2020,,,
Schinnen,2024,,,
Schoonhoven,2012,5039,3,5049
Schoonhoven,2016,,,
Schoonhoven,2020,,,
Schoonhoven,2024,,,
Schouwen-Duiveland,2012,16457,130,16732
Schouwen-Duiveland,2016,16717,126,16753
Schouwen-Duiveland,2020,16783,189,16983
Schouwen-Duiveland,2024,16912,77,16929
Simpelveld,2012,5101,28,5123
Simpelveld,2016,5225,1,5201
Simpelveld,2020,5185,4,5185
Simpelveld,2024,5190,0,5162
Sint Anthonis,2012,4618,3,4601
Sint Anthonis,2016,4746,11,4765
Sint Anthonis,2020,4863,15,4882
Sint Anthonis,2024,,,
Sint-Michielsgestel,2012,11310,97,11383
Sint-Michielsgestel,2016,11738,45,11776
Sint-Michielsgestel,2020,12183,93,12274
Sint-Michielsgestel,2024,12674,21,12684
Sint-Oedenrode,2012,7422,5,7287
Sint-Oedenrode,2016,7395,14,7408
Sint-Oedenrode,2020,,,
Sint-Oedenrode,2024,,,
Sittard-Geleen,2012,44973,220,45144
Sittard-Geleen,2016,46058,167,46253
Sittard-Geleen,2020,46625,94,46709
Sittard-Geleen,2024,47153,42,47306
Skarsterlân,2012,12085,12,12094
Skarsterlân,2016,,,
Skarsterlân,2020,,,
Skarsterlân,2024,,,
Sliedrecht,2012,10413,151,10503
Sliedrecht,2016,10722,83,10902
Sliedrecht,2020,10898,175,11086
Sliedrecht,2024,11257,157,11420
Slochteren,2012,6589,83,6670
Slochteren,2016,6787,52,6821
Slochteren,2020,,,
Slochteren,2024,,,
Sluis,2012,15755,131,13611
Sluis,2016,14051,42,13952
Sluis,2020,14200,109,14152
Sluis,2024,14051,119,14158
Smallingerland,2012,24316,97,24469
Smallingerland,2016,25391,169,25377
Smallingerland,2020,25768,42,25833
Smallingerland,2024,26451,136,26564
Soest,2012,19835,62,19910
Soest,2016,20282,60,20361
Soest,2020,20699,235,20953
Soest,2024,21377,150,21532
Someren,2012,7236,22,7320
Someren,2016,7783,81,7863
Someren,2020,8113,81,8181
Someren,2024,8542,57,8585
Son en Breugel,2012,6437,154,6711
Son en Breugel,2016,6906,72,6978
Son en Breugel,2020,7192,127,7318
Son en Breugel,2024,7639,9,7652
Spijkenisse,2012,33777,198,32781
Spijkenisse,2016,,,
Spijkenisse,2020,,,
Spijkenisse,2024,,,
Stadskanaal,2012,14895,91,14922
Stadskanaal,2016,15282,32,15276
Stadskanaal,2020,15292,32,15208
Stadskanaal,2024,15169,27,15190
Staphorst,2012,5456,11,5450
Staphorst,2016,5688,74,5756
Staphorst,2020,5933,60,5988
Staphorst,2024,6163,157,6279
Stede Broec,2012,8808,41,8850
Stede Broec,2016,9025,21,9049
Stede Broec,2020,9199,52,9253
Stede Broec,2024,9505,24,9515
Steenbergen,2012,10015,16,10046
Steenbergen,2016,10006,129,10178
Steenbergen,2020,10433,66,10484
Steenbergen,2024,10877,90,10969
Steenwijkerland,2012,19461,65,19497
Steenwijkerland,2016,19636,157,19787
Steenwijkerland,2020,20172,126,20276
Steenwijkerland,2024,20476,167,20632
Stein (L.),2012,11330,1,11347
Stein (L.),2016,11614,64,11669
Stein (L.),2020,11800,7,11812
Stein (L.),2024,11853,39,11886
Stichtse Vecht,2012,26617,78,26732
Stichtse Vecht,2016,27561,95,27858
Stichtse Vecht,2020,28549,88,28739
Stichtse Vecht,2024,29138,43,29351
Strijen,2012,3849,3,3828
Strijen,2016,3908,24,3933
Strijen,2020,,,
Strijen,2024,,,
Súdwest-Fryslân,2012,36706,191,37852
Súdwest-Fryslân,2016,39013,174,39117
Súdwest-Fryslân,2020,42119,328,42501
Súdwest-Fryslân,2024,42907,230,43118
Terneuzen,2012,25924,147,26102
Terneuzen,2016,26675,81,26754
Terneuzen,2020,26966,141,27080
Terneuzen,2024,27705,234,27865
Terschelling,2012,2156,52,2210
Terschelling,2016,2229,24,2243
Terschelling,2020,2293,0,2293
Terschelling,2024,2349,7,2360
Texel,2012,6249,8,6281
Texel,2016,6470,32,6501
Texel,2020,6651,123,6770
Texel,2024,6980,170,7144
Teylingen,2012,14339,24,14346
Teylingen,2016,14952,122,15096
Teylingen,2020,16048,178,16286
Teylingen,2024,16781,38,16812
Tholen,2012,10352,110,10413
Tholen,2016,10626,103,10729
Tholen,2020,10983,116,11112
Tholen,2024,11370,92,11414
Tiel,2012,17320,82,17446
Tiel,2016,17682,196,17839
Tiel,2020,18080,158,18271
Tiel,2024,18722,7,18752
Tilburg,2012,90698,351,91012
Tilburg,2016,95779,522,96235
Tilburg,2020,100418,1177,101883
Tilburg,2024,106200,875,107237
Tubbergen,2012,7866,47,8045
Tubbergen,2016,8247,64,8348
Tubbergen,2020,8604,68,8720
Tubbergen,2024,8833,106,8940
Twenterand,2012,13097,20,13124
Twenterand,2016,13609,68,13621
Twenterand,2020,13819,54,13847
Twenterand,2024,14106,102,14192
Tynaarlo,2012,14119,81,13989
Tynaarlo,2016,13958,79,14119
Tynaarlo,2020,14500,91,14596
Tynaarlo,2024,14837,67,14910
Tytsjerksteradiel,2012,13621,48,13252
Tytsjerksteradiel,2016,13646,59,13730
Tytsjerksteradiel,2020,14044,49,14093
Tytsjerksteradiel,2024,14305,71,14377
Ubbergen,2012,4066,35,4212
Ubbergen,2016,,,
Ubbergen,2020,,,
Ubbergen,2024,,,
Uden,2012,17266,181,17472
Uden,2016,18110,144,18253
Uden,2020,19018,109,19107
Uden,2024,,,
Uitgeest,2012,5221,108,5327
Uitgeest,2016,5548,32,5606
Uitgeest,2020,5713,4,5728
Uitgeest,2024,5701,119,5832
Uithoorn,2012,12279,109,12393
Uithoorn,2016,12837,70,12771
Uithoorn,2020,12836,427,13264
Uithoorn,2024,13664,140,13801
Urk,2012,5375,0,5429
Urk,2016,6198,113,6309
Urk,2020,6663,106,6763
Urk,2024,7004,208,7213
Utrecht (gemeente),2012,142977,2648,145124
Utrecht (gemeente),2016,149322,1885,151409
Utrecht (gemeente),2020,156678,2424,159671
Utrecht (gemeente),2024,167124,1580,168736
Utrechtse Heuvelrug,2012,21205,5,21144
Utrechtse Heuvelrug,2016,21216,244,21516
Utrechtse Heuvelrug,2020,21821,43,21890
Utrechtse Heuvelrug,2024,22405,76,22489
Vaals,2012,5157,0,5192
Vaals,2016,5241,314,5555
Vaals,2020,5806,4,5822
Vaals,2024,5867,3,5875
Valkenburg aan de Geul,2012,7870,5,7878
Valkenburg aan de Geul,2016,8169,20,8182
Valkenburg aan de Geul,2020,8309,28,8337
Valkenburg aan de Geul,2024,8388,31,8400
Valkenswaard,2012,13931,13,13950
Valkenswaard,2016,14272,188,14444
Valkenswaard,2020,14805,73,14885
Valkenswaard,2024,15258,122,15353
Veendam,2012,12508,23,12553
Veendam,2016,12723,18,12756
Veendam,2020,12843,62,12906
Veendam,2024,13084,101,13169
Veenendaal,2012,24636,338,25457
Veenendaal,2016,26702,326,27055
Veenendaal,2020,28353,245,28607
Veenendaal,2024,29786,395,30164
Veere,2012,10548,15,10661
Veere,2016,10831,62,10884
Veere,2020,10967,52,10997
Veere,2024,11116,45,11163
Veghel,2012,15307,181,15315
Veghel,2016,15753,92,15839
Veghel,2020,,,
Veghel,2024,,,
Veldhoven,2012,18796,131,19061
Veldhoven,2016,19280,112,19395
Veldhoven,2020,19913,155,20085
Veldhoven,2024,20792,342,21138
Velsen,2012,29640,241,29798
Velsen,2016,30603,154,30820
Velsen,2020,31226,211,31439
Velsen,2024,31965,219,32231
Venlo,2012,46150,101,46199
Venlo,2016,46424,122,46691
Venlo,2020,47412,272,47809
Venlo,2024,48986,168,49137
Venray,2012,18121,231,18394
Venray,2016,18790,96,18883
Venray,2020,19137,136,19300
Venray,2024,19893,82,19995
Vianen,2012,8056,57,8117
Vianen,2016,8252,98,8346
Vianen,2020,,,
Vianen,2024,,,
Vijfheerenlanden,2012,,,
Vijfheerenlanden,2016,,,
Vijfheerenlanden,2020,23824,421,24196
Vijfheerenlanden,2024,25850,292,26158
Vlaardingen,2012,34339,104,34046
Vlaardingen,2016,34768,237,34901
Vlaardingen,2020,35470,207,35551
Vlaardingen,2024,36856,241,37117
Vlagtwedde,2012,7494,17,7503
Vlagtwedde,2016,7724,210,7856
Vlagtwedde,2020,,,
Vlagtwedde,2024,,,
Vlieland,2012,571,0,570
Vlieland,2016,540,1,542
Vlieland,2020,579,26,603
Vlieland,2024,642,0,643
Vlissingen,2012,21907,105,22154
Vlissingen,2016,22434,23,22488
Vlissingen,2020,22907,178,22885
Vlissingen,2024,23715,306,23995
Vlist,2012,3958,13,3954
Vlist,2016,,,
Vlist,2020,,,
Vlist,2024,,,
Voerendaal,2012,5439,65,5549
Voerendaal,2016,5733,30,5766
Voerendaal,2020,5819,1,5813
Voerendaal,2024,5872,10,5883
Voorne aan Zee,2012,,,
Voorne aan Zee,2016,,,
Voorne aan Zee,2020,,,
Voorne aan Zee,2024,33668,245,33926
Voorschoten,2012,10951,64,10975
Voorschoten,2016,11210,57,11367
Voorschoten,2020,11465,4,11504
Voorschoten,2024,11576,137,11650
Voorst,2012,9408,47,9443
Voorst,2016,10174,145,10447
Voorst,2020,10641,95,10744
Voorst,2024,10847,57,10929
Vught,2012,10619,76,10800
Vught,2016,11257,86,11349
Vught,2020,11519,129,11650
Vught,2024,14111,56,14176
Waadhoeke,2012,,,
Waadhoeke,2016,,,
Waadhoeke,2020,21228,150,21375
Waadhoeke,2024,21493,113,21596
Waalre,2012,7030,3,7035
Waalre,2016,7556,24,7551
Waalre,2020,7765,45,7832
Waalre,2024,8088,41,8116
Waalwijk,2012,20138,219,20338
Waalwijk,2016,20952,265,21242
Waalwijk,2020,21948,137,21996
Waalwijk,2024,22613,211,22783
Waddinxveen,2012,10398,125,10529
Waddinxveen,2016,11248,84,11339
Waddinxveen,2020,12332,393,12796
Waddinxveen,2024,13842,359,14206
Wageningen,2012,14486,306,18578
Wageningen,2016,19648,536,16836
Wageningen,2020,17721,341,18086
Wageningen,2024,18856,178,19040
